n,left_offset,right_offset
4294867974,35,17
4294867975,58,29
4294867976,1,37
4294867977,68,37
4294867978,67,21
4294867979,6,29
4294867980,49,67
4294867981,130,129
4294867982,157,37
4294867983,58,17
4294867984,151,137
4294867985,46,7
4294867986,13,11
4294867987,4,3
4294867988,85,11
4294867989,16,29
4294867990,27,171
4294867991,16,91
4294867992,53,227
4294867993,24,45
4294867994,27,13
4294867995,16,23
4294867996,51,51
4294867997,22,65
4294867998,107,11
4294867999,22,33
4294868000,49,41
4294868001,2,91
4294868002,37,45
4294868003,10,17
4294868004,65,79
4294868005,78,17
4294868006,43,17
4294868007,2,25
4294868008,55,35
4294868009,58,11
4294868010,331,67
4294868011,10,11
4294868012,15,31
4294868013,8,5
4294868014,45,59
4294868015,48,83
4294868016,11,1
4294868017,84,17
4294868018,27,47
4294868019,28,17
4294868020,1,17
4294868021,42,1
4294868022,7,125
4294868023,18,9
4294868024,15,23
4294868025,4,17
4294868026,33,197
4294868027,4,17
4294868028,29,25
4294868029,28,3
4294868030,121,149
4294868031,170,37
4294868032,3,47
4294868033,4,41
4294868034,1,67
4294868035,36,71
4294868036,7,7
4294868037,32,23
4294868038,57,51
4294868039,30,17
4294868040,23,17
4294868041,12,21
4294868042,15,35
4294868043,104,47
4294868044,75,29
4294868045,64,89
4294868046,5,17
4294868047,58,23
4294868048,39,5
4294868049,2,41
4294868050,37,159
4294868051,18,37
4294868052,19,43
4294868053,58,9
4294868054,25,41
4294868055,44,19
4294868056,27,69
4294868057,48,53
4294868058,23,127
4294868059,28,33
4294868060,67,13
4294868061,52,7
4294868062,13,21
4294868063,48,85
4294868064,7,7
4294868065,18,23
4294868066,115,29
4294868067,80,55
4294868068,87,15
4294868069,6,19
4294868070,13,11
4294868071,36,17
4294868072,43,41
4294868073,8,25
4294868074,25,111
4294868075,22,53
4294868076,47,25
4294868077,78,57
4294868078,15,5
4294868079,2,23
4294868080,1,33
4294868081,22,19
4294868082,193,157
4294868083,28,9
4294868084,55,101
4294868085,112,7
4294868086,33,119
4294868087,24,5
4294868088,17,65
4294868089,10,59
4294868090,57,11
4294868091,22,157
4294868092,25,3
4294868093,48,25
4294868094,37,67
4294868095,18,71
4294868096,33,7
4294868097,14,17
4294868098,3,41
4294868099,36,31
4294868100,61,109
4294868101,126,107
4294868102,15,41
4294868103,28,7
4294868104,33,23
4294868105,78,43
4294868106,7,125
4294868107,64,45
4294868108,39,5
4294868109,26,37
4294868110,7,51
4294868111,22,49
4294868112,55,11
4294868113,22,35
4294868114,111,1
4294868115,16,19
4294868116,115,41
4294868117,22,95
4294868118,25,65
4294868119,18,33
4294868120,1,67
4294868121,2,7
4294868122,15,27
4294868123,118,25
4294868124,5,83
4294868125,16,41
4294868126,13,7
4294868127,28,5
4294868128,39,27
4294868129,10,1
4294868130,41,11
4294868131,22,155
4294868132,27,31
4294868133,34,95
4294868134,1,93
4294868135,88,37
4294868136,145,71
4294868137,30,51
4294868138,25,79
4294868139,68,17
4294868140,3,3
4294868141,22,151
4294868142,35,17
4294868143,24,59
4294868144,51,1
4294868145,16,11
4294868146,25,149
4294868147,30,7
4294868148,67,47
4294868149,46,41
4294868150,31,23
4294868151,46,11
4294868152,235,63
4294868153,40,41
4294868154,11,77
4294868155,6,3
4294868156,7,49
4294868157,4,23
4294868158,27,41
4294868159,46,43
4294868160,13,61
4294868161,16,21
4294868162,9,35
4294868163,8,1
4294868164,3,41
4294868165,58,83
4294868166,71,1
4294868167,70,33
4294868168,49,77
4294868169,8,19
4294868170,19,3
4294868171,112,25
4294868172,25,43
4294868173,10,17
4294868174,67,11
4294868175,32,1
4294868176,37,9
4294868177,120,65
4294868178,29,5
4294868179,22,33
4294868180,39,1
4294868181,20,17
4294868182,9,41
4294868183,24,107
4294868184,25,41
4294868185,52,11
4294868186,15,31
4294868187,122,37
4294868188,9,41
4294868189,58,157
4294868190,31,41
4294868191,16,17
4294868192,123,5
4294868193,82,17
4294868194,37,183
4294868195,28,13
4294868196,43,7
4294868197,22,5
4294868198,39,41
4294868199,38,41
4294868200,43,3
4294868201,12,31
4294868202,113,7
4294868203,58,35
4294868204,45,37
4294868205,14,1
4294868206,31,11
4294868207,18,95
4294868208,7,25
4294868209,18,11
4294868210,9,31
4294868211,80,49
4294868212,7,147
4294868213,4,5
4294868214,37,61
4294868215,58,3
4294868216,67,35
4294868217,34,97
4294868218,3,89
4294868219,96,23
4294868220,53,43
4294868221,22,39
4294868222,3,7
4294868223,8,41
4294868224,63,11
4294868225,4,7
4294868226,41,17
4294868227,28,11
4294868228,15,17
4294868229,16,13
4294868230,19,33
4294868231,16,55
4294868232,43,11
4294868233,70,15
4294868234,21,17
4294868235,32,11
4294868236,45,29
4294868237,180,95
4294868238,29,17
4294868239,10,23
4294868240,163,11
4294868241,80,41
4294868242,55,5
4294868243,18,67
4294868244,1,83
4294868245,6,41
4294868246,15,139
4294868247,58,43
4294868248,57,81
4294868249,46,43
4294868250,19,17
4294868251,16,35
4294868252,3,53
4294868253,64,11
4294868254,7,3
4294868255,18,37
4294868256,31,37
4294868257,64,15
4294868258,7,47
4294868259,80,19
4294868260,9,3
4294868261,90,1
4294868262,103,31
4294868263,120,5
4294868264,43,107
4294868265,28,17
4294868266,7,41
4294868267,60,31
4294868268,23,95
4294868269,40,57
4294868270,27,53
4294868271,100,25
4294868272,27,35
4294868273,10,127
4294868274,23,83
4294868275,16,17
4294868276,7,67
4294868277,44,13
4294868278,39,41
4294868279,16,41
4294868280,23,7
4294868281,6,27
4294868282,57,43
4294868283,14,31
4294868284,3,141
4294868285,54,29
4294868286,7,59
4294868287,60,83
4294868288,15,5
4294868289,22,53
4294868290,3,17
4294868291,108,101
4294868292,133,137
4294868293,58,47
4294868294,153,67
4294868295,8,107
4294868296,147,65
4294868297,78,1
4294868298,13,29
4294868299,22,39
4294868300,33,17
4294868301,22,49
4294868302,45,41
4294868303,12,95
4294868304,91,61
4294868305,12,9
