first_N,last_N,original_minimum12,independent_minimum12
1846060,1848107,153531227959,155487842852
1848108,1850155,153765614842,155746839661
1850156,1852203,153999644564,156005409167
1852204,1854251,154233368346,156263601539
1854252,1856299,154466739390,156521370934
1856300,1858347,154699756763,156778716390
1858348,1860395,154932469828,157035687768
1860396,1862443,155164833180,157292239501
1862444,1864491,155396844958,157548370619
1864492,1866539,155628554755,157804130682
1866540,1868587,155859917169,158059474394
1868588,1870635,156090930802,158314400778
1870636,1872683,156321645015,158568959098
1872684,1874731,156552013941,158823104323
1874732,1876779,156782036647,159076835473
1876780,1878827,157011762028,159330201513
1878828,1880875,157241144450,159583157681
1880876,1882923,157470183214,159835702989
1882924,1884971,157698926981,160087886111
1884972,1887019,157927330117,160339662546
1887020,1889067,158155391924,160591031303
1889068,1891115,158383161062,160842040764
1891116,1893163,158610592363,161092646689
1893164,1895211,158837684430,161342848083
1895212,1897259,159064485691,161592693038
1897260,1899307,159290951443,161842137575
1899308,1901355,159517080523,162091180693
1901356,1903403,159742921125,162339870200
1903404,1905451,159968428546,162588162371
1905452,1907499,160193601856,162836056201
1907500,1909547,160418488085,163083599215
1909548,1911595,160643043927,163330747944
1911596,1913643,160867267753,163577501377
1913644,1915691,161091207060,163823906760
1915692,1917739,161314818076,164069920873
1917740,1919787,161538099171,164315542704
1919788,1921835,161761098075,164560819217
1921836,1923883,161983770551,164805707447
1923884,1925931,162206116132,165050206374
1925932,1927979,162428180919,165294362689
1927980,1930027,162649921607,165538133672
1930028,1932075,162871337728,165781518301
1932076,1934123,163092475151,166024562437
1934124,1936171,163313291268,166267224820
1936172,1938219,163533783983,166509503731
1938220,1940267,163754000561,166751444805
1940268,1942315,163973897928,166993007702
1942316,1944363,164193474454,167234189183
1944364,1946411,164412776706,167475035990
1946412,1948459,164631761843,167715506135
1948460,1950507,164850428467,167955598585
1950508,1952555,165068822447,168195358950
1952556,1954603,165286901639,168434745482
1954604,1956651,165504664648,168673757144
1956652,1958699,165722156874,168912439283
1958700,1960747,165939336409,169150750388
1960748,1962795,166156202089,169388689417
1962796,1964843,166372798848,169626301459
1964844,1966891,166589085012,169863545235
1966892,1968939,166805059416,170100419702
1968940,1970987,167020767251,170336969688
1970988,1973035,167236166276,170573154149
1973036,1975083,167451255513,170808972038
1975084,1977131,167666079768,171044467927
1977132,1979179,167880597691,171279601003
1979180,1981227,168094807929,171514370214
1981228,1983275,168308755042,171748819880
1983276,1985323,168522397908,171982909416
1985324,1987371,168735735171,172216637769
1987372,1989419,168948811149,172450049003
1989420,1991467,169161584944,172683102763
1991468,1993515,169374055197,172915797993
1993516,1995563,169586265988,173148178507
1995564,1997611,169798176640,173380204174
1997612,1999659,170009785794,173611873936
1999660,2001707,170221137290,173843231360
2001708,2003755,170432190672,174074236537
2003756,2005803,170642944579,174304888407
2005804,2007851,170853442615,174535230292
2007852,2009899,171063644543,174765222504
2009900,2011947,171273549001,174994863980
2011948,2013995,171483199357,175224197799
2013996,2016043,171692555593,175453184493
2016044,2018091,171901616344,175681822995
2018092,2020139,172110424745,175910156144
2020140,2022187,172318940995,176138144689
2022188,2024235,172527163726,176365787561
2024236,2026283,172735135845,176593127360
2026284,2028331,172942817761,176820125050
2028332,2030379,173150208108,177046779561
2030380,2032427,173357349561,177273133254
2032428,2034475,173564202743,177499147310
2034476,2036523,173770766286,177724820654
2036524,2038571,173977082639,177950195412
2038572,2040619,174183112635,178175232978
2040620,2042667,174388854903,178399932276
2042668,2044715,174594351668,178624335197
2044716,2046763,174799563972,178848403347
2046764,2048811,175004490444,179072135647
2048812,2050859,175209173082,179295573757
2050860,2052907,175413573138,179518679492
2052908,2054955,175617689238,179741451770
2054956,2057003,175821563161,179963932024
2057004,2059051,176025156362,180186082273
2059052,2061099,176228467466,180407901437
2061100,2063147,176431538034,180629430718
2063148,2065195,176634329722,180850632343
2065196,2067243,176836841157,181071505229
2067244,2069291,177039113679,181292090352
2069292,2071339,177241109148,181512350145
2071340,2073387,177442826189,181732283519
2073388,2075435,177644305927,181951931232
2075436,2077483,177845510422,182171255914
2077484,2079531,178046438297,182390256479
2079532,2081579,178247130464,182608973459
2081580,2083627,178447549180,182827369688
2083628,2085675,178647693070,183045444075
2085676,2087723,178847602830,183263236935
2087724,2089771,179047240916,183480711299
2089772,2091819,179246605951,183697866077
2091820,2093867,179445738422,183914741363
2093868,2095915,179644600980,184131300387
2095916,2097963,179843192246,184347542056
2097964,2100011,180041552498,184563506250
2100012,2102059,180239644581,184779156393
2102060,2104107,180437467116,184994491391
2104108,2106155,180635060174,185209550909
2106156,2108203,180832386791,185424298567
2108204,2110251,181029445588,185638733268
2110252,2112299,181226276429,185852894465
2112300,2114347,181422842543,186066745969
2114348,2116395,181619142550,186280286684
2116396,2118443,181815216109,186493555851
2118444,2120491,182011026637,186706517472
2120492,2122539,182206572756,186919170450
2122540,2124587,182401893920,187131553816
2124588,2126635,182596953736,187343631762
2126636,2128683,182791750824,187555403191
2128684,2130731,182986324439,187766906925
2130732,2132779,183180638373,187978107345
2132780,2134827,183374691245,188189003351
2134828,2136875,183568522110,188399633561
2136876,2138923,183762094947,188609962543
2138924,2140971,183955408374,188819989195
2140972,2143019,184148501248,189029751930
2143020,2145067,184341337731,189239215502
2145068,2147115,184533916440,189448378808
2147116,2149163,184726276038,189657280058
2149164,2151211,184918380867,189865884191
2151212,2153259,185110229545,190074190101
2153260,2155307,185301860539,190282235800
2155308,2157355,185493238373,190489986405
2157356,2159403,185684361664,190697440813
2159404,2161451,185875268686,190904636835
2161452,2163499,186065924141,191111539769
2163500,2165547,186256326647,191318148511
2165548,2167595,186446514286,191524500673
2167596,2169643,186636451939,191730561735
2169644,2171691,186826138222,191936330591
2171692,2173739,187015611028,192141844658
2173740,2175787,187204835413,192347069591
2175788,2177835,187393809995,192552004286
2177836,2179883,187582572476,192756685964
2179884,2181931,187771096670,192961080458
2181932,2183979,187959364100,193165186662
2183980,2186027,188147420793,193369041604
2186028,2188075,188335232156,193572611293
2188076,2190123,188522796807,193775894622
2190124,2192171,188710152075,193978928428
2192172,2194219,188897263538,194181678893
2194220,2196267,189084129813,194384144910
2196268,2198315,189270788046,194586363125
2198316,2200363,189457203986,194788299894
2200364,2202411,194986373641,194989954109
2202412,2204459,195167739341,195191362227
2204460,2206507,195348873291,195392490777
2206508,2208555,195529774229,195593338647
2208556,2210603,195710478284,195793942111
2210604,2212651,195890951997,195994267864
2212652,2214699,196071194106,196194314797
2214700,2216747,196251240563,196394118996
2216748,2218795,196431058075,196593647326
2218796,2220843,196610645379,196792898677
2220844,2222891,196790038251,196991908951
2222892,2224939,196969203563,197190645181
2224940,2226987,197148140052,197389106256
2226988,2229035,197326883318,197587327896
2229036,2231083,197505400396,197785277298
2231084,2233131,197683690025,197982953353
2233132,2235179,197861787630,198180391599
2235180,2237227,198039660409,198377559398
2237228,2239275,198217307099,198574455640
2239276,2241323,198394762956,198771115683
2241324,2243371,198571995335,198967507053
2243372,2245419,198749002975,199163628641
2245420,2247467,198925820961,199359515625
2247468,2249515,199102416808,199555135694
2249516,2251563,199278789254,199750487738
2251564,2253611,199454973214,199945606759
2253612,2255659,199630936363,200140460607
2255660,2257707,199806677438,200335048170
2257708,2259755,199982231186,200529404277
2259756,2261803,200157565439,200723496745
2261804,2263851,200332678934,200917323783
2263852,2265899,200507606251,201110920913
2265900,2267947,200682315378,201304256306
2267948,2269995,200856805053,201497328849
2269996,2272043,201031109689,201690173023
2272044,2274091,201205197428,201882757153
2274092,2276139,201379067010,202075080129
2276140,2278187,201552752683,202267176258
2278188,2280235,201726222742,202459014023
2280236,2282283,201899475927,202650592313
2282284,2284331,202072546324,202841945265
2284332,2286379,202245402380,203033041516
2286380,2288427,202418042834,203223879957
2288428,2290475,202590501611,203414494554
2290476,2292523,202762747309,203604854099
2292524,2294571,202934778668,203794957483
2294572,2296619,203106629450,203984838505
2296620,2298667,203278268406,204174466109
2298668,2300715,203449694275,204363839185
2300716,2302763,203620940660,204552991366
2302764,2304811,203791976459,204741891750
2304812,2306859,203962800412,204930539225
2306860,2308907,204133445965,205118967259
