Z,lieb,nam,hps_s2,hps_s3,hps_simplified,best_published,best_name
125,250.000000000000000000,167.500000000000000000,165.688347648318426764,159.355208900338340072,159.812500000000000000,159.355208900338340072,hps_s3
126,252.000000000000000000,168.759893804893749802,166.934816317000127128,160.525402879057764949,160.984191739858346182,160.525402879057764949,hps_s3
127,254.000000000000000000,170.019577085940426286,168.181077268819421988,161.695324258873426970,162.155602781253918465,161.695324258873426970,hps_s3
128,256.000000000000000000,171.279052598738473989,169.427133222633358400,162.864976602144793105,163.326736798317966759,162.864976602144793105,hps_s3
129,258.000000000000000000,172.538323041625687893,170.672986840801968356,164.034363397311437893,164.497597388834265075,164.034363397311437893,hps_s3
130,260.000000000000000000,173.797391057302661466,171.918640730789803683,165.203488060986103392,165.668188076403538389,165.203488060986103392,hps_s3
131,262.000000000000000000,175.056259234398083890,173.164097446710485428,166.372353939972867920,166.838512312530809822,166.372353939972867920,hps_s3
132,264.000000000000000000,176.314930108978444423,174.409359490816342486,167.540964313213692094,168.008573478637941889,167.540964313213692094,hps_s3
133,266.000000000000000000,177.573406166004389206,175.654429314935157436,168.709322393666326434,169.178374888005862431,168.709322393666326434,hps_s3
134,268.000000000000000000,178.831689840736146380,176.899309321857032273,169.877431330116678510,170.347919787648208967,169.877431330116678510,hps_s3
135,270.000000000000000000,180.089783520090264801,178.144001866672994083,171.045294208928254420,171.517211360120370500,171.045294208928254420,hps_s3
136,272.000000000000000000,181.347689543949400104,179.388509258067188057,172.212914055731289409,172.686252725265887875,172.212914055731289409,hps_s3
137,274.000000000000000000,182.605410206427308140,180.632833759565272658,173.380293837054210826,173.855046941903083280,173.380293837054210826,hps_s3
138,276.000000000000000000,183.862947757090864798,181.876977590739869584,174.547436461899650340,175.023597009454505269,174.547436461899650340,hps_s3
139,278.000000000000000000,185.120304402140845923,183.120942928375768588,175.714344783267534922,176.191905869521178829,175.714344783267534922,hps_s3
140,280.000000000000000000,186.377482305553286324,184.364731907595910343,176.881021599626677698,177.359976407404417387,176.881021599626677698,hps_s3
141,282.000000000000000000,187.634483590182611579,185.608346622950023175,178.047469656338421373,178.527811453576816803,178.047469656338421373,hps_s3
142,284.000000000000000000,188.891310338828503745,186.851789129467192652,179.213691647032334231,179.695413785104676663,179.213691647032334231,hps_s3
143,286.000000000000000000,190.147964595267950472,188.095061443674012480,180.379690214937483006,180.862786127023952076,180.379690214937483006,hps_s3
144,288.000000000000000000,191.404448365253387010,189.338165544579510424,181.545467954170334224,182.029931153671185484,181.545467954170334224,hps_s3
145,290.000000000000000000,192.660763617478721699,190.581103374628384017,182.711027410980676677,183.196851489971606952,182.711027410980676677,hps_s3
146,292.000000000000000000,193.916912284514324938,191.823876840623370299,183.876371084958179836,184.363549712685767190,183.876371084958179836,hps_s3
147,294.000000000000000000,195.172896263712232212,193.066487814618540142,185.041501430199929246,185.530028351616294913,185.041501430199929246,hps_s3
148,296.000000000000000000,196.428717418082612767,194.308938134783886653,186.206420856441383194,186.696289890776824905,186.206420856441383194,hps_s3
149,298.000000000000000000,197.684377577142697646,195.551229606243055059,187.371131730151688544,187.862336769523608382,187.371131730151688544,hps_s3
150,300.000000000000000000,198.939878537739161857,196.793364001884782510,188.535636375594947367,189.028171383652221493,188.535636375594947367,hps_s3
151,302.000000000000000000,200.195222064844955412,198.035343063149014142,189.699937075858059643,190.193796086459968819,189.699937075858059643,hps_s3
152,304.000000000000000000,201.450409892331663286,199.277168500789116479,190.864036073847699981,191.359213189775545061,190.864036073847699981,hps_s3
